Numurs,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
216,2018,8.7,9.4,0,2,147,22,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
217,2018,8.7,9.4,0,3,208,22,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
218,2018,8.7,9.4,0,2,187,39,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
219,2018,8.7,9.4,0,3,248,39,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
220,2018,8.7,9.4,0,4,301,39,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
221,2018,9,9.4,1,2,90,29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
222,2018,9.4,9.4,0,2,60,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
223,2018,9.4,9.4,0,3,70,31,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
224,2018,9.4,9.4,0,4,80,38,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
225,2009,7.9,9.6,0,2,47,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
226,2009,7.9,9.6,0,2,77,18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
227,2009,7.9,9.6,0,2,94,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
228,2009,7.9,9.6,0,2,94,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
