Nosaukums,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
Sniegi Apartments,2019,9.4,9.4,3,4,98,95,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Sniegi Apartments,2019,9.4,9.4,3,5,108,95,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Sniegi Apartments,2019,9.4,9.4,3,6,157,95,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Sniegi Apartments,2019,9.4,9.4,3,7,187,95,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Sniegi Apartments,2019,9.4,9.4,3,8,213,95,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Viesnīcas Jolanta apartamenti,2015,7.6,7.6,0,2,45,24,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Viesnīcas Jolanta apartamenti,2015,7.6,7.6,0,1,35,24,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Viesnīcas Jolanta apartamenti,2015,7.6,7.6,0,2,50,24,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Viesnīcas Jolanta apartamenti,2015,7.6,7.6,0,1,40,24,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Viesnīcas Jolanta apartamenti,2015,7.6,7.6,0,2,60,27,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Viesnīcas Jolanta apartamenti,2015,7.6,7.6,0,1,50,27,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
